product_name,qty_sold,sales_price,original_price,rating,shipping_cost,store
Prints Jeans Men 2023 New Streetwear Baggy Wide Leg Jeans Korean Fashion Drapes Straight Casual Loose Denim Cargo Pants ,297 sold,"NGN9,779.48","NGN32,954.89",,Free shipping,ZJHHYD Store
Harajuku Y2K Baggy Pants Men Women Double Waisted Sweatpants Streetwear Camouflage Pattern Trend Casual Unisex Wide Leg Pants ,2 sold,"NGN33,175.64",,,"+Shipping: NGN13,452.22",Unique as you are Store
Deeptown Y2k Baggy Wide Leg Jeans Women Vintage Streetwear Washed Denim Pants Grunge Basic Slouchy Blue Trousers Femme Spring ,,"NGN16,504.37","NGN44,603.98",,Free shipping,Cute Pet Prince Pet Shop Store
JNCO Jeans New Y2K Harajuku Hip Hop Letter Embroidered Vintage Baggy Jeans Denim Pants Mens Womens Goth High Waist Wide Trousers ,"1,000+ sold","NGN14,432.83","NGN44,036.33",,Free shipping,Heartthrob Square Store
Spring and summer 2024 Japanese overalls men's fashion brand retro personality simple baggy pants n straight-leg casual pants ,,"NGN20,499.7","NGN68,227.49",,Free shipping,Shop1103183813 Store
2024 fashionable and retro men's leggings baggy casual pants with outdoor sports resistance dirty simple trousers ,,"NGN21,792.04","NGN71,817.34",,Free shipping,Shop1103183813 Store
Harajuku Summer Loose Calf Length Casual Pants Men Wide Leg Cotton Linen Printing Baggy Pants Oversize Men's Trousers ,4000+ sold,"NGN7,309.21","NGN31,588.5",,Free shipping,Beysaurt Official Store
Streetwear 2023 Spring Harem Casual Pants Men Elastic Waist Solid Color Cargo Pants Multi Pocket Loose Baggy Pants For Women ,3000+ sold,"NGN13,950.45","NGN47,399.58",,Free shipping,Beysaurt Official Store
Korean Fashion Men's Baggy Jeans Elastic Waist  Classic olid Color Straight-leg Denim Wide-leg Pants Male Light Blue Grey Black ,1 sold,"NGN12,546.56","NGN29,874.35",,Free shipping,Cute Pet Prince Pet Shop Store
Men Harem Pants Streetwear Cotton Linen Joggers New Baggy Hip Hop Fashion Pants Casual Solid Trousers Male Trendy Sweatpants ,,"NGN18,096.73","NGN59,890.04",,Free shipping,Shop1103851743 Store
Prints Jeans Men 2023 New Streetwear Baggy Wide Leg Jeans Korean Fashion Drapes Straight Casual Loose Denim Cargo Pants ,297 sold,"NGN9,779.48","NGN32,954.89",,Free shipping,ZJHHYD Store
Harajuku Y2K Baggy Pants Men Women Double Waisted Sweatpants Streetwear Camouflage Pattern Trend Casual Unisex Wide Leg Pants ,2 sold,"NGN33,175.64",,,"+Shipping: NGN13,452.22",Unique as you are Store
JNCO Jeans New Y2K Harajuku Hip Hop Letter Embroidered Vintage Baggy Jeans Denim Pants Mens Womens Goth High Waist Wide Trousers ,"1,000+ sold","NGN14,432.83","NGN44,036.33",,Free shipping,Heartthrob Square Store
Deeptown Y2k Baggy Wide Leg Jeans Women Vintage Streetwear Washed Denim Pants Grunge Basic Slouchy Blue Trousers Femme Spring ,,"NGN16,504.37","NGN44,603.98",,Free shipping,Cute Pet Prince Pet Shop Store
2024 fashionable and retro men's leggings baggy casual pants with outdoor sports resistance dirty simple trousers ,,"NGN21,792.04","NGN71,817.34",,Free shipping,Shop1103183813 Store
Korean Fashion Men's Baggy Jeans Elastic Waist  Classic olid Color Straight-leg Denim Wide-leg Pants Male Light Blue Grey Black ,1 sold,"NGN12,546.56","NGN29,874.35",,Free shipping,Cute Pet Prince Pet Shop Store
Hong Kong Style Men's Casual Trousers Loose Fit Ice Silk Pants For Spring Summer Trendy Sporty Straight Leg Bell Bottoms ,48 sold,"NGN5,848.79","NGN23,590.12",,Free shipping,Fashion Fusion Store
New Waffle Plaid Pants For Men's Summer Oversized Wide Leg Baggy Pants Korean Fashion Casual Sports Pants Y2k Streetwear ,,"NGN6,472.96",,,"+Shipping: NGN27,749.6",Brangdy Brangdy Store
